01;01,B
01;02,B
01;03,B
01;04,B
01;05,B
01;06,B
01;07,B
01;08,B
01;09,B
01;10,B
01;11,B
01;12,B
01;13,B
01;14,B
01;15,B
02;01,B
02;02,-
02;03,-
02;04,-
02;05,-
02;06,-
02;07,-
02;08,D
02;09,N
02;10,-
02;11,-
02;12,-
02;13,-
02;14,-
02;15,B
03;01,B
03;02,-
03;03,-
03;04,T
03;05,B
03;06,B
03;07,B
03;08,B
03;09,-
03;10,B
03;11,B
03;12,-
03;13,-
03;14,-
03;15,B
04;01,B
04;02,-
04;03,-
04;04,B
04;05,B
04;06,-
04;07,-
04;08,B
04;09,-
04;10,E
04;11,B
04;12,-
04;13,-
04;14,-
04;15,B
05;01,B
05;02,-
05;03,-
05;04,-
05;05,B
05;06,-
05;07,-
05;08,B
05;09,-
05;10,B
05;11,B
05;12,-
05;13,-
05;14,-
05;15,B
06;01,B
06;02,-
06;03,-
06;04,B
06;05,B
06;06,-
06;07,-
06;08,B
06;09,-
06;10,-
06;11,-
06;12,-
06;13,-
06;14,-
06;15,B
07;01,B
07;02,-
07;03,-
07;04,-
07;05,B
07;06,-
07;07,-
07;08,B
07;09,B
07;10,B
07;11,B
07;12,B
07;13,B
07;14,B
07;15,B
08;01,B
08;02,-
08;03,-
08;04,-
08;05,B
08;06,-
08;07,-
08;08,-
08;09,-
08;10,-
08;11,-
08;12,-
08;13,-
08;14,B
08;15,B
09;01,B
09;02,-
09;03,-
09;04,-
09;05,-
09;06,-
09;07,-
09;08,-
09;09,-
09;10,-
09;11,-
09;12,-
09;13,-
09;14,B
09;15,B
10;01,B
10;02,-
10;03,-
10;04,-
10;05,B
10;06,B
10;07,B
10;08,B
10;09,B
10;10,B
10;11,B
10;12,B
10;13,-
10;14,B
10;15,B
11;01,B
11;02,T
11;03,-
11;04,-
11;05,B
11;06,-
11;07,-
11;08,B
11;09,-
11;10,B
11;11,-
11;12,B
11;13,-
11;14,-
11;15,B
12;01,B
12;02,-
12;03,-
12;04,-
12;05,B
12;06,-
12;07,-
12;08,-
12;09,N
12;10,-
12;11,N
12;12,B
12;13,B
12;14,-
12;15,B
13;01,B
13;02,-
13;03,-
13;04,-
13;05,-
13;06,-
13;07,N
13;08,N
13;09,-
13;10,N
13;11,-
13;12,N
13;13,-
13;14,-
13;15,B
14;01,B
14;02,-
14;03,-
14;04,-
14;05,B
14;06,B
14;07,B
14;08,-
14;09,-
14;10,-
14;11,B
14;12,-
14;13,B
14;14,B
14;15,B
15;01,B
15;02,-
15;03,B
15;04,-
15;05,B
15;06,B
15;07,B
15;08,B
15;09,-
15;10,N
15;11,-
15;12,-
15;13,N
15;14,K
15;15,B
16;01,B
16;02,-
16;03,B
16;04,P
16;05,B
16;06,-
16;07,-
16;08,B
16;09,B
16;10,-
16;11,-
16;12,-
16;13,-
16;14,B
16;15,B
17;01,B
17;02,-
17;03,B
17;04,B
17;05,B
17;06,-
17;07,N
17;08,-
17;09,B
17;10,B
17;11,B
17;12,B
17;13,-
17;14,-
17;15,B
18;01,B
18;02,-
18;03,-
18;04,-
18;05,-
18;06,-
18;07,-
18;08,-
18;09,-
18;10,-
18;11,-
18;12,-
18;13,-
18;14,-
18;15,B
19;01,B
19;02,B
19;03,B
19;04,B
19;05,B
19;06,B
19;07,B
19;08,B
19;09,B
19;10,B
19;11,B
19;12,B
19;13,B
19;14,B
19;15,B
